ZIP;City;Lat;Lon
5101;ERPENT;4.9094515331252;50.4474046
5101;LIVES-SUR-MEUSE;4.9384059263709;50.47132665
5101;LOYERS;4.9409795174479;50.4580989
5140;BOIGNÉE;4.6119938;50.5018413
5140;LIGNY;4.5757572;50.5126287
5140;SOMBREFFE;4.6025925;50.5246589
5140;TONGRINNE;4.623887;50.5157258
5150;FLOREFFE;4.758878;50.4348064
5150;FLORIFFOUX;4.7694348;50.4515822
5150;FRANIÈRE;4.7317891;50.4389093
5150;SOYE;4.730789;50.4494828
5170;ARBRE;4.820627;50.365529
5170;BOIS-DE-VILLERS;4.823377;50.389973
5170;LESVE;4.7748094;50.3773499
5170;LUSTIN;4.8965971;50.379305
5170;PROFONDEVILLE;4.8694363;50.3776473
5170;RIVIÈRE;4.8724268;50.3580729
5190;BALÂTRE;4.6382422;50.4983123
5190;HAM-SUR-SAMBRE;4.6734915;50.44449
5190;JEMEPPE-SUR-SAMBRE;4.6545986012407;50.46299585
5190;MORNIMONT;4.7043344;50.4555129
5190;MOUSTIER-SUR-SAMBRE;4.6967162;50.4660542
5190;ONOZ;4.6696856;50.4923374
5190;SAINT-MARTIN;4.6472621;50.5008367
5190;SPY;4.7027047;50.4811696
5300;ANDENNE;5.1043923;50.4900943
5300;BONNEVILLE;5.0338525;50.4709296
5300;COUTISSE;5.1169603;50.4636595
5300;LANDENNE;5.0646275;50.5142495
5300;MAIZERET;4.978173;50.4598458
5300;NAMÊCHE;4.9947316;50.4712487
5300;SCLAYN;5.0284735;50.4897139
5300;SEILLES;5.0805501;50.4984249
5300;THON;5.0133577;50.4641615
5300;VEZIN;5.0114611;50.4966018
5310;AISCHE-EN-REFAIL;4.8359955;50.5988682
5310;BOLINNE;4.9299565;50.6003478
5310;BONEFFE;4.957465;50.623868
5310;BRANCHON;4.971969;50.629691
5310;DHUY;4.8573789;50.5596814
5310;EGHEZÉE;4.9049523;50.5917416
5310;HANRET;4.9440702;50.5834955
5310;LEUZE;4.9103111;50.5605615
5310;LIERNU;4.8311032;50.5821124
5310;LONGCHAMPS;4.8962185;50.5772925
5310;MEHAIGNE;4.8762345;50.5942203
5310;NOVILLE-SUR-MÉHAIGNE;4.8909225;50.6082112
5310;SAINT-GERMAIN;4.8427332;50.5730646
5310;TAVIERS;4.9318579;50.6170592
5310;UPIGNY;4.8653991;50.5756144
5310;WARET-LA-CHAUSSÉE;4.9217571;50.5417091
5330;ASSESSE;5.0233625;50.3704203
5330;MAILLEN;4.9699385;50.3775518
5330;SART-BERNARD;4.9506941;50.405155
5332;CRUPET;4.9581149;50.3468626
5333;SORINNE-LA-LONGUE;5.0294375;50.3896858
5334;FLORÉE;5.0704373;50.3730757
5336;COURRIÈRE;4.9845433;50.378301
5340;FAULX-LES-TOMBES;5.0191438;50.4272928
5340;GESVES;5.0776175;50.4028535
5340;HALTINNE;5.0744138;50.4508568
5340;MOZET;4.9846704;50.4416402
5340;SORÉE;5.1258806;50.4001817
5350;EVELETTE;5.171436;50.4135772
5350;OHEY;5.1238439;50.4359066
5351;HAILLOT;5.1491871;50.4405961
5353;GOESNES;5.2217845;50.440101
5354;JALLET;5.1821601;50.4432621
5360;HAMOIS;5.1594475;50.3408694
5360;NATOYE;5.0562173;50.3413559
5361;MOHIVILLE;5.1923275;50.3176664
5361;SCY;5.2094413;50.3079186
5362;ACHET;5.1751963;50.3334777
5363;EMPTINNE;5.1212547;50.3253905
5364;SCHALTIN;5.1237159;50.3579006
5370;BARVAUX-CONDROZ;5.2607234;50.3291239
5370;FLOSTOY;5.1845059;50.3883757
5370;HAVELANGE;5.23958;50.3870946
5370;JENEFFE;5.2451952;50.3563281
5370;PORCHERESSE;5.2408578;50.3384304
5370;VERLÉE;5.2795649;50.3675402
5372;MÉAN;5.333856;50.3619241
5374;MAFFE;5.3125869;50.3533462
5376;MIÉCRET;5.24941;50.365689
5377;BAILLONVILLE;5.338213;50.288759
5377;BONSIN;5.3788758;50.3727364
5377;HEURE;5.2963125;50.2945343
5377;HOGNE;5.279464;50.24859
5377;NETTINNE;5.2612996;50.2910362
5377;NOISEUX;5.3737372;50.2976637
5377;SINSIN;5.2623625;50.275734
5377;SOMME-LEUZE;5.3669021;50.336585
5377;WAILLET;5.304196;50.260584
5380;BIERWART;5.0360917;50.5580545
5380;CORTIL-WODON;4.958369;50.567323
5380;FERNELMONT;4.9746742;50.548118
5380;FORVILLE;5.0006655;50.574642
5380;FRANC-WARET;4.9759589;50.5210841
5380;HEMPTINNE;4.9869761;50.6010427
5380;HINGEON;5.008801;50.5244901
5380;MARCHOVELETTE;4.9411438;50.5231886
5380;NOVILLE-LES-BOIS;4.982708;50.5555805
5380;PONTILLAS;5.01707;50.5500591
5380;TILLIER;4.946342;50.544287
5500;ANSEREMME;4.907923;50.23791
5500;BOUVIGNES-SUR-MEUSE;4.8984129;50.2725677
5500;DINANT;4.91242;50.2608166
5500;DRÉHANCE;4.9388148;50.2368273
5500;FALMAGNE;4.8971396;50.2003101
5500;FALMIGNOUL;4.8924373;50.2037856
5500;FURFOOZ;4.9584822;50.223335
5501;LISOGNE;4.9715412;50.2814293
5502;THYNES;4.9882689;50.2798224
5503;SORINNES;4.982409;50.260159
5504;FOY-NOTRE-DAME;4.9897127;50.2471757
5520;ANTHÉE;4.7604034;50.2395304
5520;ONHAYE;4.840864;50.2435657
5521;SERVILLE;4.7806526;50.2500754
5522;FALAEN;4.793357;50.2782156
5523;SOMMIÈRE;4.8454743;50.274944
5523;WEILLEN;4.8245344;50.2596445
5524;GERIN;4.8158102;50.2452911
5530;DORINNE;4.97325;50.3173377
5530;DURNAL;4.9857278;50.3380783
5530;EVREHAILLES;4.9125689;50.3202787
5530;GODINNE;4.875987;50.3505281
5530;HOUX;4.8978933;50.3031942
5530;MONT;5.7909538;50.5341607
5530;PURNODE;4.9455473;50.3142896
5530;SPONTIN;5.006949;50.322619
5530;YVOIR;4.8806618;50.3264425
5537;ANHÉE;4.8796936;50.310778
